Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-05-18,234.2196807861328,237.4283032972884,234.04623418149055,237.29340691705676,20168000
2021-05-19,234.79913330078125,234.90536910405467,230.4338423981237,231.11953416207322,25739800
2021-05-20,238.0441436767578,239.4638336631731,235.51381868114396,235.61040204566228,21800700
2021-05-21,236.77896118164062,239.83081250942357,236.36368516969955,239.09682910535156,21863100
2021-05-24,242.19696044921875,242.56395952418902,239.03887328396996,239.3092890013529,21411500
2021-05-25,243.10482788085938,244.09957472157194,242.23563647676897,243.1531195669874,17704300
2021-05-26,242.8826904296875,244.28306083094176,242.16801182939886,242.82473156759428,17771600
2021-05-27,240.77731323242188,242.87304278179596,240.71936910222183,242.57365495139308,24426200
2021-05-28,241.13462829589844,243.45249649735703,241.01874004361903,242.4094580171836,18270200
2021-06-01,238.93267822265625,242.68954158313835,238.50774969185622,242.63159745332717,23213300
2021-06-02,238.83609008789062,240.73866745632938,237.42605251919264,239.6376848701333,19406700
2021-06-03,237.30050659179688,237.9089346282766,234.68325068647783,236.82727168648836,25307700
2021-06-04,242.20664978027344,243.03721667775164,239.03890969141557,239.28035338560628,25281100
2021-06-07,245.123291015625,245.3937067711973,241.26019195138838,241.42437189323203,23079200
2021-06-08,243.92572021484375,247.24798750204266,243.86776135481398,246.42707312197177,22455000
2021-06-09,244.9107666015625,246.78437160174016,244.54378229041396,245.1232381832249,17937600
2021-06-10,248.43589782714844,248.64836946011133,244.98808948598523,245.58686514076032,24563600
2021-06-11,249.06362915039062,249.64307033984085,247.82740935129092,249.16018303323085,18999700
2021-06-14,250.9952392578125,251.05318339081236,248.01096904277327,249.0733272696195,19150500
2021-06-15,249.51751708984375,251.0917344387504,248.86079742069938,250.87926284307397,18038900
2021-06-16,248.5710906982422,251.661551976009,245.7123911746522,250.5219449324532,27220000
2021-06-17,251.9706268310547,252.79154126464425,247.2480036211231,247.30594774837823,27565500
2021-06-18,250.5509490966797,253.32271805483876,249.89422930673348,250.74411584577345,37202200
2021-06-21,253.64141845703125,254.50094262852164,249.09262779573734,250.9275938620824,26696100
2021-06-22,256.4228820800781,256.69329785095465,253.41930706163052,253.72836207780614,24694100
2021-06-23,256.1910400390625,257.69764618957555,255.37979284056348,256.88639899107653,19518700
2021-06-24,257.5624694824219,258.68277172504975,256.3842231128569,257.0506100457399,21446900
2021-06-25,255.94955444335938,258.1032422481122,255.6984731081372,257.11816284124166,25611100
2021-06-28,259.52294921875,259.69678157154965,256.8091249764496,257.0795406829496,19590000
2021-06-29,262.1112365722656,262.3526802370288,258.80830374324364,259.6678278637866,19937800
2021-06-30,261.6283874511719,262.07263560674545,260.3728920002913,261.4255829956221,21656500
2021-07-01,262.3044738769531,262.53625042610145,260.3729240390862,260.38256174655965,16725300
2021-07-02,268.14727783203125,268.4853047938374,263.1735451666211,263.4826000730209,26458000
2021-07-06,268.1570739746094,269.80854087321734,264.91205484296137,268.51440598750753,31565600
2021-07-07,270.3492736816406,271.08327180082625,267.66442150258445,269.8374143282879,23260000
2021-07-08,267.9252014160156,269.1903637790481,265.46245851211995,267.4229797632627,24618600
2021-07-09,268.4274597167969,268.5336808014434,265.89713436744273,266.28343840641656,23916700
2021-07-12,267.82867431640625,270.19480488995174,267.1139809234751,269.60569640968833,18931700
2021-07-13,271.3633117675781,273.1693052480677,267.896185077449,268.0217109967878,26120100
2021-07-14,272.8410339355469,273.95166900294385,270.94809420573137,272.68650643884115,23113700
2021-07-15,271.4116516113281,272.8410087189218,270.2527102297004,272.3484542107645,22604200
2021-07-16,271.1412048339844,274.37655547016755,269.8953474123771,272.4160343131593,26186800
2021-07-19,267.529296875,270.77428617836256,265.05691565154973,269.3835680560332,32935600
2021-07-20,269.7602233886719,271.3537459092012,266.80495486751335,268.5143656479928,26259700
2021-07-21,271.7690124511719,271.8849007070508,267.79969232178405,269.3545755433379,24364300
2021-07-22,276.34674072265625,276.61715641463866,273.7198327977843,274.12544159920793,23384100
2021-07-23,279.7560119628906,280.06503751333383,276.6944927399731,277.53471213835513,22768100
2021-07-26,279.1571350097656,279.7752448979074,276.82964417119246,279.10885806923653,23176100
2021-07-27,276.73309326171875,279.66902715530136,273.2659655945296,279.52416684362873,33604100
2021-07-28,276.4240417480469,280.2195293269949,274.11582601839666,279.09922711416823,33566900
2021-07-29,276.6944274902344,278.74186496050413,276.2887891833402,276.443316658676,18168300
2021-07-30,275.15887451171875,276.84898024407687,274.1930998075141,275.40998536620555,20944800
2021-08-02,275.0720520019531,276.955295632635,274.02899846125746,276.55932433228895,16267400
2021-08-03,277.2932434082031,277.399493957448,274.2800308832114,275.6514440057943,17879000
2021-08-04,276.70416259765625,277.7471864708533,274.9078060448436,276.424079637782,16191300
2021-08-05,279.6111145019531,279.7173650578754,276.3081811316384,277.0614843102284,13900200
2021-08-06,279.5531311035156,279.5917703432516,277.7761092260167,278.6356628397924,16589300
2021-08-09,278.4618225097656,281.57161840390836,277.9596302468189,279.83323563184877,16117600
